LABEL,TEXT,URL,EMAIL,PHONE
ham,رأيك عني؟ 1. أكثر من 2. Jada 3. Kusruthi 4. محبوب 5. صامت 6. Spl حرف 7. غير ناضج 8. أنيق 9. بسيط الرجاء الرد ..,No,No,No
ham,ما أخبارك؟ هل تريد مني الاتصال بالإنترنت؟ إذا كنت حرا يمكننا التحدث في وقت ما,No,No,No
ham,لذا أنت تعمل في الوقت الإضافي nigpun؟,No,No,No
ham,سيدي أيضًا ، لقد أرسلت إليك بريدًا إلكترونيًا حول كيفية تسجيل الدخول إلى بوابة الدفع USC. سأرسل لك رسالة أخرى تشرح كيف عادت الأمور إلى الوطن. اتمنى لك نهايه اسبوع جميله.,No,No,No
smishing,يرجى البقاء في المنزل. لتشجيع فكرة البقاء في المنزل. يحق لجميع المواطنين الذين يدفعون الضرائب استرداد 305.96 جنيهًا إسترلينيًا أو أكثر في حالات الطوارئ. smsg.io/fCVbD,No,No,No
smishing,تنبيه BankOfAmerica 137943. يرجى اتباع http://bit.do/cgjK- وإعادة التنشيط,yes,No,yes
ham,آسف يا صاح. لا أعرف كيف نسيت. حتى بعد أن ذكرني دان. آسف. اتمنى انكم استمتعتم.,No,No,No
ham,لا أعرف بالضبط ماذا أفعل. ما زلت لا أستطيع الحصول على أي شخص. أنا مجترة اصطحابك حوالي الساعة 7.30 مساءً ويمكننا معرفة ما إذا كانوا في الحانة؟,No,No,No
ham,طيب لور. على أي حال أعتقد أننا لا نستطيع الحصول على تذاكر الآن لأن متأخرا جدا بالفعل. يو wan 2 اذهب نظرة 4 اور frens لا؟ دارين هو الزوجة لهم الآن ...,No,No,No
ham,ماذا تفعل الان؟,No,No,No
ham,اشتري بيضة واحدة لي دا .. أرجوك :),No,No,No
ham,هل هناك سبب لم نتحدث عنه هذا العام؟ على أي حال ، استمتع بأسبوع رائع وكل التوفيق في امتحانك,No,No,No
ham,أوقفوا القصة. لقد أخبرته أنني قد أعدتها وهو يقول أنه لا ينبغي أن أعيد طلبها.,No,No,No
ham,لا ، أنا لا أريد أن أسمع أي شيء,No,No,No
ham,Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta، Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai ..........,No,No,No
ham,أنا شخص يقوم بإجراء مسح عبر الرسائل القصيرة ...,No,No,No
